"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"2804","foreign car knocked down a pedestrian throwing himself under the wheels chelly crash Argayash",""
"2805","year-old girl hanged herself in her yard chelly death suicide",""
"2806","tractor on the road missed the victory over Neftekhimik chelly tractor Petrochemist",""
"2807","Petrochemist vs tractor text translation for readers oblru chelly Petrochemist tractor",""
"2808","Chrysostom in the administration appointed a new deputy infrastructure chelly zlatoust andreyplikin",""
"2809","goalkeeper Vladislav Fokin tractor back into the main part spustyamesyatsa chelly vladislavfokin",""
"2810","day meteorite fall in Chelyabinsk arrange casting chelly meteorite fragments found Castine",""
"2811","installed lichnostichelovek burned in a private hotel chelly hotel fire personality",""
"2812","mother hanged herself after the funeral year-old son died after falling from a roof chelly on suicide",""
"2813","Chelyabinsk considered the best five minibuses minibuses chelly best mark",""
"2814","Chelyabinsk doctors saved the child's esophagus protknuvshego toy chelly doctors child esophagus",""
"2815","robber on camera told about the attack on banks in female guise chelly same robber attack",""
"2816","Mikhail Yurevich resolve the conflict between the heads to prevent restoration of water Kartalov chelly",""
"2817","house in which the hotel was sgorelichelovek chelly hotel fire",""
"2818","identity of the victims on fire in the area can not Argayashskaya chelly set fire death",""
"2819","ZMZ dismissed employees employed at the shoe factory chelly ZMZ employment",""
"2820","Irina Shayk tears of gratitude for ronaldo golden ball chelly irinasheyk ronaldo",""
"2821","child prescribed in the parking lot after the demolition of the house registration chelly child",""
"2822","in the burnt house in the area could Argayashskaya nahoditsyachelovek chelly fire death",""
"2823","on fire in the area Argayashskaya pogiblicheloveka chelly fire death",""
"2824","works of life otna",""
"2825","chelyabinets the international wanted list for hischeniemillionov program demolition of dilapidated housing che",""
"2826","impact on foreign cars mother with a child got on video chelly crash child",""
"2827","Chelyabinsk first make antireyting nightclubs chelly club rating",""
"2828","child injured in kindergarten swinging on a swing chelly detskiysad injury",""
"2829","foreign car flew under standing tram on Revolution Square chelly tram accident",""
"2830","Site oblru holds konkursviktorinu to Chelyabinsk region chelly anniversary quiz contest",""
"2831","Chelyabinsk hunting dog saved from death squirrel who turned gopher chelly karendallak",""
"2832","look online today and Tob oblru onlayntranslyatsiyu Petrochemist match vs tractor cheer for Mr.",""
"2833","killer attacked with a knife on a taxi driver stationery under Chebarkul chelly killing taxi",""
"2834","on the police opened a criminal case for the preparation of false police reports chelly locus",""
"2835","Russia's first year-round snow park will open in Chelyabinsk tractor chelly snowpark",""
"2836","ZMZ dismissed employees will pay the maximum unemployment benefit chelly dismissal ZMZ unemployment",""
"2837","pilots emergency shrunken in Chelyabinsk sukhoi superjetsrabotali competently chelly",""
"2838","in frontal crash under ashoy family died from Ufa chelly accident death family",""
"2839","Chelyabinsk offer to remember the history of celebrating the new year in the old e chelly tree stories",""
"2840","fight guard store buyer got on video chelly fight video store",""
"2841","Chelyabinsk bring genuine Rubens recognized year ago chelly Rubens artificial",""
"2842","Davydov Strongman advised to decide for themselves with a rental hall rental chelly is sergeydavydov",""
"2843","vinogoradov decrease the stability of the Chelyabinsk region due to the openness of government chelly",""
"2844","in the Chelyabinsk region appointed a new minister of social relations chelly olegbehterev Minister called",""
"2845","Mikhail Yurevich industrial power in the region is expected to grow nachelly mihailyurevich industry",""
"2846","Ministry of Health in the area created a commission to identify the causes of maternal deaths in Korkino chelly doh",""
"2847","in a frontal collision and six year old boy suffered fields chelly accident hospitalization",""
"2848","tractor went on without leaving Michael Garnett and Eugenia Kuznetsova chelly mayklgarnett eugeny",""
"2849","year-old child seat saved the girl from serious injury crashes chelly girl chair crash",""
"2850","Jurevich instructed the Ministry of Health to provide cancer patients drugs smoothly chelly mihailyurevich healthy",""
"2851","Hospital chief physician Korkino quit after death mothers chelly dismissal hospital death",""
"2852","organized gang kidnapped with mu metal on summumillionov rubles chelly nm theft meta",""
"2853","antiterrorist commission will check in Chelyabinsk municipal institutions chelly Commission",""
"2854","voditelbespravnik poluchilgoda prison for the death of old girl in crash accident death chelly",""
"2855","pensioner brutally hammered drinking companion with a file in Troitsk chelly pal pensioner murder",""
"2856","appears in the center of Chelyabinsk singing fountain fountain chelly Chelyabinsk lumiere",""
"2857","Chelyabinsk residents respond before the court for stealing a stuffed bunny toy theft chelly zaych",""
"2858","Miassa Court accepted the suit ardab'evskiy his dismissal chelly ardab'evskiy court recovery",""
"2859","per week in two twins born Verkhneuralsk chelly greeting twins",""
"2860","two workers filled up in the collapse of the ore in the hopper chelly ore hopper collapse",""
"2861","daewoo matiz rammed ford focus on a snowy road accident has killed chelly oncoming crash",""
"2862","chelyabinets injured two traffic police officers in the accident ran a red light chelly injury Patrul",""
"2863","Summer robber grozitlet for assaulting a woman with a knife attack chelly Raza",""
"2864","Investigators learned of the death of mothers in the hospital only spustyasutok Korkino maternity death",""
"2865","officials of the region will perform Dmitry Medvedev instructed to deliver the State of expensive gifts chelly",""
"2866","police found two missing girls in zlatoustednya ago chelly wanted zlatoust",""
"2867","driver of the car that crashed into a mother and year old daughter died in hospital death chelly Avari",""
"2868","Chelyabinsk will celebrate the fall of a meteorite meteorite chelly Competition",""
"2869","drunken customers beat two policemen in police alcohol store chelly",""
"2870","Lithuanian truck rammed a passenger car on the highway has killed chelly death crash",""
"2871","works of life otna",""
"2872","sports nedelyavypusk otna",""
"2873","mother and daughter were killed in a frontal crash at m chelly death track",""
"2874","prnedna",""
"2875","Captain east to match CHL stars selected from Sergei Mozyakin metallurgist chelly Mozyakin CHL",""
"2876","nachasov doctors stopped heart CHEP employee to save the life chelly heart surgery",""
"2877","the spokesman of the Sochi Olympics opens first regional blog chelly blog sochi",""
"2878","the percentage willing to Olympic venues chelly blog Sochi volunteer",""
"2879","first regional site publishes exclusive video of the acclaimed musical oetv chelly Min musical",""
"2880","Sochi Olympics organizers painted in all colors of the rainbow chelly sochi olimpiyskieigry",""
"2881","Zlatoust lost two schoolgirls chelly wanted zlatoust",""
"2882","Korkino new mother in the hospital died from internal bleeding woman in labor Korkino death",""
"2883","in the Chelyabinsk region to be kupliprodazhi estate notary notarized chelly",""
"2884","myuziklna",""
"2885","young chelyabinets attacked with fists on the inspector stopped his car chelly DPS violence",""
"2886","Two pensioners from Magnitogorsk died in the fire because of the fire unquenched cigarette MMK death",""
"2887","our hokkeyvypusk otna",""
"2888","pa in the Chelyabinsk region poyavitsyatysyach jobs chelly market work",""
"2889","South Urals will be able to return several times to the purchase of real estate tax taxes money chelly",""
"2890","Unemployed man hacked apartment for laptop theft chelly Kishtim",""
"2891","VKontakte social network does not work because of technical problems chelly vkontakte VC vk",""
"2892","Mikhail Yurevich opposed the merger with other universities CSPU chelly mihailyurevich CSPU",""
"2893","dismissed employees ZMZ style housing subsidies and benefits for children chelly ZMZ dismissal",""
"2894","in Chelyabinsk oblastiadvokatov will protect customers free list of offices chelly lawyer",""
"2895","former General Counsel of the Ombudsman of the Southern Urals daligoda conditionally chelly basalgin term",""
"2896","Chelyabinsk eschebesplatnyh launched digital channels chelly tv tsifrovoetv",""
"2897","chereznedeli Southern Urals expects epidemic of SARS and influenza flu epidemic chelly",""
"2898","on the host where the sauna burned mother Irina Shayk was tagged sauna Emanzhelinsk irinasheyk",""
"2899","Chelyabinsk resident lodged in kvartireshinshill chelly exotic shorthair",""
"2900","police seized in Kazakhstan predprinimateleytysyach bottles of vodka vodka chelly Miass",""
"2901","ck patient psychiatric hospital and her father were slaughtered chelly Kill Hospital",""
"2902","Chelyabinsk station miner turned old felon chelly bomb Station",""
"2903","Attorney Upper Ufaleya demanded increase zarplatuuchitelyam chelly teacher salary",""
"2904","juvenile broke the head during a drunken quarrel chelly minor assault",""
"2905","in the upper Ufalei woman found her husband dead in a car corpse verhniyufaley death",""
"2906","our hokkeyvypusk otna",""
"2907","Chelyabinsk truck crashed into marshrutkucheloveka suffered chelly minibus crash",""
"2908","railroad train was canceled from Chelyabinsk to the mound mound chelly train",""
"2909","policeman was sentenced for bribe police in Chelyabinsk police chelly alcohol",""
"2910","layer of snow fell on the road under the railway ashoy chelly asha snow",""
"2911","investigators seized equipment which crashed in Miass Miass parachute parachutist chelly",""
"2912","in a mental hospital in Chelyabinsk found the bodies of the patient and her father's death chelly patients",""
"2913","polar bear mascot tractor perform at match KHL KHL stars belyymedved tractor",""
"2914","mining railway station in Chelyabinsk was false chelly station bomb",""
"2915","railway station in Chelyabinsk check because of reports of bomb chelly station evacuation",""
